bill_id,customer_name,city,state,product_category,quantity,total_amount,cost_amount,profit_amount,margin_pct,payment_method,store_type,visit_date
1202,Alok Patel,Bhopal,Madhya Pradesh,Stationery,4,325,262,63,0.195,UPI,Mall Store,29-03-2025
1651,Anita Yadav,Gwalior,Madhya Pradesh,Grocery,4,351,305,46,0.13,Debit Card,Local Store,05-01-2025
2410,Kavita Joshi,Nagpur,Maharashtra,Electronics,2,14240,13357,883,0.062,UPI,Supermarket,23-02-2025
1076,Kiran Yadav,Pune,Maharashtra,Grocery,9,650,560,90,0.139,Cash,Mall Store,31-01-2025
2041,Ashok Pillai,Prayagraj,Uttar Pradesh,Clothing,3,4220,3211,1009,0.239,UPI,Supermarket,07-02-2025
1289,Rekha Gupta,Patna,Bihar,Grocery,7,450,390,60,0.134,UPI,Local Store,03-03-2025
1112,Ritu Bansal,Kochi,Kerala,Grocery,10,600,509,91,0.151,UPI,Supermarket,28-02-2025
2107,Sandeep Singh,Prayagraj,Uttar Pradesh,Grocery,9,620,532,88,0.142,UPI,Local Store,06-03-2025
1463,Gaurav Pillai,Faridabad,Haryana,Stationery,9,500,384,116,0.231,UPI,Supermarket,08-03-2025
1575,Naveen Nair,Bengaluru,Karnataka,Electronics,1,10900,10202,698,0.064,Cash,Mall Store,20-01-2025
1772,Kiran Pillai,Rajkot,Gujarat,Electronics,1,6030,5517,513,0.085,UPI,Supermarket,10-01-2025
2173,Rohit Agarwal,Chennai,Tamil Nadu,Stationery,4,288,244,44,0.154,Credit Card,Mall Store,25-01-2025
2131,Kavita Malhotra,Hisar,Haryana,Clothing,5,4980,3376,1604,0.322,Debit Card,Mall Store,15-01-2025
1103,Anita Kapoor,Kochi,Kerala,Stationery,10,630,481,149,0.237,UPI,Mall Store,27-02-2025
2005,Priya Reddy,Bengaluru,Karnataka,Grocery,6,423,374,49,0.116,Cash,Local Store,07-01-2025
1332,Rahul Saxena,Satara,Maharashtra,Grocery,8,372,313,59,0.158,Debit Card,Mall Store,22-03-2025
1265,Deepika Malhotra,Jodhpur,Rajasthan,Electronics,2,14230,13049,1181,0.083,UPI,Mall Store,10-03-2025
2163,Preeti Singh,Pune,Maharashtra,Grocery,4,157,130,27,0.173,UPI,Local Store,20-02-2025
1998,Sanjay Yadav,Kota,Rajasthan,Grocery,10,700,575,125,0.179,Cash,Mall Store,14-01-2025
1433,Simran Saxena,Gorakhpur,Uttar Pradesh,Grocery,4,224,192,32,0.141,UPI,Supermarket,21-03-2025
2007,Sanjay Yadav,Lucknow,Uttar Pradesh,Clothing,3,3510,2313,1197,0.341,Credit Card,Supermarket,17-01-2025
1578,Suman Gupta,Hyderabad,Telangana,Grocery,9,640,543,97,0.151,Cash,Supermarket,15-01-2025
1397,Rohit Verma,Prayagraj,Uttar Pradesh,Grocery,9,309,273,36,0.116,Credit Card,Supermarket,22-03-2025
2382,Gaurav Singh,Lucknow,Uttar Pradesh,Electronics,1,6290,5793,497,0.079,Cash,Supermarket,11-03-2025
2268,Ritu Singh,Udaipur,Rajasthan,Clothing,5,3140,2157,983,0.313,UPI,Local Store,23-02-2025
1977,Manoj Patel,Nashik,Maharashtra,Grocery,6,319,280,39,0.123,UPI,Supermarket,09-03-2025
1820,Anita Sharma,Satara,Maharashtra,Stationery,3,274,210,64,0.234,UPI,Local Store,26-03-2025
1038,Karan Kumar,Mangalore,Karnataka,Electronics,2,2280,2066,214,0.094,Debit Card,Supermarket,15-01-2025
1168,Rohit Rao,Pune,Maharashtra,Clothing,5,7350,5321,2029,0.276,UPI,Mall Store,03-01-2025
2014,Swati Chopra, Solapur ,Maharashtra,Stationery,8,450,365,85,0.188,Credit Card,Mall Store,09-02-2025
1415,Meera Nair,Chandigarh,Chandigarh,Grocery,7,455,403,52,0.115,Debit Card,Local Store,08-03-2025
1286,Vikram Gupta,Pune,Maharashtra,Grocery,10,307,262,45,0.145,UPI,Mall Store,07-03-2025
1580,Ashok Bansal,Gwalior,Madhya Pradesh,Clothing,6,7460,5685,1775,0.238,Cash,Supermarket,16-02-2025
1170,Vikram Rao,Vadodara,Gujarat,Electronics,1,5360,4824,536,0.1,UPI,Supermarket,21-03-2025
1952,Payal Iyer,Ahmedabad,Gujarat,Stationery,6,462,383,79,0.17,UPI,Supermarket,23-01-2025
1054,Ashok Bansal,Solapur,Maharashtra,Grocery,3,208,172,36,0.171,UPI,Local Store,14-01-2025
1562,Sandeep Mehta,Gorakhpur,Uttar Pradesh,Clothing,3,4570,3437,1133,0.248,Credit Card,Supermarket,20-01-2025
1599,Manoj Bansal,Solapur,Maharashtra,Clothing,3,2300,1647,653,0.284,UPI,Supermarket,09-03-2025
1852,Arjun Malhotra,Vadodara,Gujarat,Electronics,1,6060,5654,406,0.067,Cash,Local Store,04-03-2025
2044,Rohit Rao,Sangli,Maharashtra,Clothing,3,2670,2093,577,0.216,Credit Card,Mall Store,02-01-2025
1108,Pooja Nair,Dehradun,Uttarakhand,Stationery,9,660,498,162,0.245,Cash,Mall Store,22-03-2025
1260,Ajay Reddy,Gurgaon,Haryana,Grocery,5,358,299,59,0.164,Debit Card,Mall Store,08-01-2025
1404,Suresh Gupta,Nagpur,Maharashtra,Stationery,10,710,549,161,0.227,Credit Card,Supermarket,11-02-2025
1826,Suman Nair,Kolhapur,Maharashtra,Clothing,2,2670,1880,790,0.296,Cash,Mall Store,24-01-2025
1302,Kavita Iyer,Nagpur,Maharashtra,Grocery,6,310,266,44,0.142,Credit Card,Mall Store,14-02-2025
1205,Karan Yadav,Chennai,Tamil Nadu,Stationery,7,297,249,48,0.163,UPI,Mall Store,08-02-2025
2039,Suresh Mehta,Sangli,Maharashtra,Electronics,1,8790,7911,879,0.1,Credit Card,Mall Store,10-03-2025
1633,Rekha Pillai,Guwahati,Assam,Grocery,10,580,511,69,0.119,Credit Card,Mall Store,17-03-2025
1894,Manish Saxena,Gurgaon,Haryana,Grocery,7,540,457,83,0.153,Cash,Mall Store,15-03-2025
2485,Sanjay Patel,Panchkula,Haryana,Grocery,4,253,217,36,0.143,UPI,Local Store,07-03-2025
1831,Arjun Verma,Solapur,Maharashtra,Clothing,6,2980,2268,712,0.239,UPI,Local Store,12-01-2025
1603,Pooja Singh,Mangalore,Karnataka,Grocery,5,365,303,62,0.17,Cash,Supermarket,06-02-2025
1102,Sanjay Mehta,Vadodara,Gujarat,Clothing,5,3870,2899,971,0.251,UPI,Supermarket,06-03-2025
1834,Deepika Saxena,Agra,Uttar Pradesh,Stationery,7,383,298,85,0.223,Credit Card,Mall Store,25-01-2025
2244,Kavita Patel,Rajkot,Gujarat,Grocery,6,269,233,36,0.135,UPI,Supermarket,11-01-2025
1875,Rekha Singh,Bhubaneswar,Odisha,Electronics,2,15770,14540,1230,0.078,Debit Card,Mall Store,27-01-2025
1709,Payal Reddy,Panipat,Haryana,Electronics,2,1430,1301,129,0.09,UPI,Local Store,27-02-2025
1496,Payal Joshi,Bhopal,Madhya Pradesh,Electronics,1,9890,9059,831,0.084,UPI,Supermarket,06-03-2025
2024,Sneha Iyer,Udaipur,Rajasthan,Clothing,3,4630,3366,1264,0.273,Credit Card,Local Store,06-03-2025
2416,Karan Yadav,Ludhiana,Punjab,Clothing,5,5890,4329,1561,0.265,UPI,Supermarket,01-03-2025
2411,Kiran Singh,Kolhapur,Maharashtra,Clothing,4,5190,3617,1573,0.303,Credit Card,Mall Store,13-01-2025
2398,Payal Kapoor,Gorakhpur,Uttar Pradesh,Electronics,2,9200,8390,810,0.088,UPI,Supermarket,01-02-2025
1360,Harsh Verma,Agra,Uttar Pradesh,Clothing,4,2610,2031,579,0.222,UPI,Local Store,01-02-2025
2469,Vishal Joshi,Varanasi,Uttar Pradesh,Clothing,5,2710,2127,583,0.215,UPI,Local Store,08-02-2025
2362,Anjali Verma,Prayagraj,Uttar Pradesh,Electronics,2,20060,18696,1364,0.068,UPI,Mall Store,12-03-2025
1609,Sneha Yadav,Ludhiana,Punjab,Stationery,3,103,87,16,0.154,Credit Card,Supermarket,09-03-2025
2128,Anjali Iyer,Pune,Maharashtra,Stationery,5,275,229,46,0.168,UPI,Supermarket,09-03-2025
1256,Amit Malhotra,Hisar,Haryana,Grocery,6,316,265,51,0.16,Debit Card,Supermarket,08-01-2025
1953,Sneha Nair,Bilaspur,Chhattisgarh,Grocery,6,247,222,25,0.102,UPI,Local Store,03-02-2025
1191,Vivek Joshi,Hisar,Haryana,Clothing,5,3830,2968,862,0.225,UPI,Mall Store,26-02-2025
1539,Sneha Bansal,Prayagraj,Uttar Pradesh,Grocery,8,600,523,77,0.129,UPI,Supermarket,21-02-2025
2497,Preeti Sharma,Delhi,Delhi,Electronics,2,30430,27874,2556,0.084,Debit Card,Mall Store,13-01-2025
1530,Rajesh Chopra,Meerut,Uttar Pradesh,Electronics,1,4830,4337,493,0.102,UPI,Supermarket,03-02-2025
1635,Deepika Verma,Udaipur,Rajasthan,Grocery,8,359,322,37,0.103,Cash,Mall Store,05-01-2025
1597,Nisha Joshi,Bhubaneswar,Odisha,Electronics,1,7060,6495,565,0.08,UPI,Mall Store,02-03-2025
1212,Arjun Nair,Panchkula,Haryana,Clothing,3,3720,2552,1168,0.314,Credit Card,Local Store,05-03-2025
1331,Rajesh Iyer,Nagpur,Maharashtra,Grocery,5,299,254,45,0.151,Credit Card,Supermarket,28-03-2025
2180,Deepika Reddy,Vadodara,Gujarat,Electronics,2,8270,7716,554,0.067,UPI,Local Store,02-03-2025
1641,Karan Rao,Panchkula,Haryana,Stationery,8,510,386,124,0.243,Credit Card,Mall Store,20-03-2025
1232,Neha Rao,Gurgaon,Haryana,Clothing,2,1930,1515,415,0.215,UPI,Mall Store,12-02-2025
1049,Vivek Pillai,Bhopal,Madhya Pradesh,Grocery,9,590,499,91,0.154,UPI,Mall Store,23-01-2025
2220,Anita Agarwal,Satara,Maharashtra,Grocery,4,369,305,64,0.173,UPI,Local Store,29-01-2025
2193,Priya Chopra,Patna,Bihar,Electronics,1,5900,5469,431,0.073,UPI,Mall Store,23-02-2025
2428,Sanjay Saxena,Faridabad,Haryana,Clothing,6,3410,2305,1105,0.324,Credit Card,Mall Store,17-03-2025
1805,Pooja Kapoor,Jaipur,Rajasthan,Clothing,4,3080,2433,647,0.21,UPI,Mall Store,09-03-2025
1708,Naveen Bansal,Pune,Maharashtra,Stationery,10,1050,815,235,0.224,UPI,Supermarket,18-01-2025
1869,Suman Joshi,Ahmedabad,Gujarat,Electronics,2,20610,18734,1876,0.091,Debit Card,Local Store,20-03-2025
1495,Amit Pillai,Rewa,Madhya Pradesh,Electronics,2,26660,24021,2639,0.099,UPI,Mall Store,20-01-2025
2225,Neha Malhotra,Bengaluru,Karnataka,Stationery,6,398,327,71,0.179,UPI,Supermarket,21-02-2025
1958,Meera Gupta,Ludhiana,Punjab,Stationery,10,790,655,135,0.171,Cash,Local Store,11-01-2025
1698,Alok Kumar, Indore ,Madhya Pradesh,Clothing,4,2100,1588,512,0.244,Cash,Local Store,26-03-2025
1303,Sandeep Nair,Patna,Bihar,Grocery,4,285,256,29,0.102,Cash,Mall Store,13-02-2025
2294,Pooja Verma,Chandigarh,Chandigarh,Stationery,9,780,624,156,0.2,UPI,Mall Store,18-02-2025
1081,Anita Sharma,Rajkot,Gujarat,Electronics,2,14460,13549,911,0.063,Cash,Mall Store,07-01-2025
1644,Deepika Sharma,Chennai,Tamil Nadu,Grocery,7,262,231,31,0.12,Credit Card,Supermarket,09-01-2025
1938,Sandeep Kapoor,Indore,Madhya Pradesh,Grocery,3,212,175,37,0.173,Cash,Supermarket,18-02-2025
1963,Sandeep Rao,Meerut,Uttar Pradesh,Grocery,3,189,163,26,0.137,Credit Card,Supermarket,21-03-2025
1632,Vivek Kumar,Indore,Madhya Pradesh,Stationery,6,600,510,90,0.15,Credit Card,Supermarket,02-02-2025
2219,Ashok Yadav,Panipat,Haryana,Grocery,6,285,238,47,0.165,UPI,Mall Store,09-03-2025
1419,Sneha Joshi,Jaipur,Rajasthan,Electronics,2,24260,21737,2523,0.104,UPI,Local Store,13-03-2025
1284,Simran Joshi,Guwahati,Assam,Grocery,4,166,148,18,0.107,Cash,Mall Store,20-01-2025
2239,Meera Joshi,Noida,Uttar Pradesh,Grocery,8,550,458,92,0.167,Credit Card,Mall Store,16-01-2025
1422,Ashok Rao,Nagpur,Maharashtra,Electronics,1,14140,13178,962,0.068,Debit Card,Supermarket,26-01-2025
2247,Rohit Chopra,Bilaspur,Chhattisgarh,Grocery,7,424,379,45,0.107,Credit Card,Local Store,14-03-2025
1492,Rohit Nair,Rohtak,Haryana,Electronics,2,26360,23566,2794,0.106,UPI,Mall Store,04-03-2025
1237,Shalini Joshi,Kolhapur,Maharashtra,Stationery,10,295,224,71,0.239,Credit Card,Local Store,18-01-2025
1020,Sandeep Rao,Hisar,Haryana,Grocery,6,233,209,24,0.105,UPI,Mall Store,03-01-2025
2101,Deepika Joshi,Rohtak,Haryana,Grocery,4,300,260,40,0.134,UPI,Local Store,02-02-2025
2433,Gaurav Sharma,Siliguri,West Bengal,Stationery,10,870,653,217,0.249,UPI,Local Store,18-02-2025
1615,Rohit Chopra,Vadodara,Gujarat,Grocery,5,483,423,60,0.125,Cash,Mall Store,13-03-2025
1293,Rekha Kapoor,Bhubaneswar,Odisha,Grocery,9,460,404,56,0.122,Debit Card,Mall Store,20-02-2025
1991,Naveen Kumar,Agra,Uttar Pradesh,Clothing,6,5780,4439,1341,0.232,Cash,Supermarket,31-03-2025
1259,Naveen Malhotra,Bhubaneswar,Odisha,Electronics,2,19110,17505,1605,0.084,Cash,Mall Store,08-02-2025
1004,Nisha Nair,Chandigarh,Chandigarh,Grocery,8,660,589,71,0.108,Cash,Supermarket,18-02-2025
2109,Rekha Pillai,Ludhiana,Punjab,Stationery,5,288,232,56,0.194,Cash,Mall Store,07-03-2025
1116,Neha Saxena,Mangalore,Karnataka,Electronics,2,18110,16172,1938,0.107,UPI,Mall Store,30-01-2025
1141,Suman Nair,Sangli,Maharashtra,Grocery,8,510,423,87,0.17,Cash,Local Store,24-02-2025
1195,Alok Gupta,Gwalior,Madhya Pradesh,Electronics,2,17210,15506,1704,0.099,UPI,Local Store,01-02-2025
2069,Alok Rao,Trivandrum,Kerala,Grocery,5,265,232,33,0.125,Debit Card,Mall Store,25-02-2025
1781,Sandeep Singh,Udaipur,Rajasthan,Clothing,5,4770,3511,1259,0.264,UPI,Supermarket,07-03-2025
2253,Vivek Kapoor,Rohtak,Haryana,Clothing,2,600,469,131,0.218,Cash,Mall Store,16-03-2025
1862,Nisha Pillai,Mumbai,Maharashtra,Grocery,4,149,134,15,0.101,Cash,Mall Store,25-03-2025
1521,Sanjay Mehta,Gurgaon,Haryana,Electronics,1,2160,1938,222,0.103,Credit Card,Mall Store,21-02-2025
1050,Suman Sharma,Nagpur,Maharashtra,Grocery,9,302,253,49,0.163,Credit Card,Mall Store,19-03-2025
2159,Vivek Malhotra,Kota,Rajasthan,Stationery,5,448,361,87,0.194,Debit Card,Local Store,07-03-2025
1680,Amit Kapoor,Rohtak,Haryana,Clothing,2,2560,1825,735,0.287,Cash,Supermarket,30-03-2025
1895,Kiran Reddy,Jaipur,Rajasthan,Grocery,6,484,404,80,0.166,UPI,Mall Store,16-02-2025
1882,Rahul Reddy,Visakhapatnam,Andhra Pradesh,Clothing,4,2960,2241,719,0.243,UPI,Supermarket,22-01-2025
1105,Gaurav Verma,Varanasi,Uttar Pradesh,Clothing,5,4260,3161,1099,0.258,Cash,Local Store,26-03-2025
2174,Arjun Saxena,Nashik,Maharashtra,Grocery,6,354,292,62,0.176,UPI,Mall Store,28-03-2025
2421,Kiran Kapoor,Kolhapur,Maharashtra,Grocery,8,540,470,70,0.13,Cash,Mall Store,19-01-2025
1725,Priya Bansal,Ludhiana,Punjab,Grocery,6,375,316,59,0.158,Credit Card,Mall Store,17-03-2025
1594,Nisha Chopra,Indore,Madhya Pradesh,Stationery,6,460,356,104,0.225,Cash,Local Store,19-03-2025
2388,Rajesh Kapoor,Chennai,Tamil Nadu,Stationery,5,510,393,117,0.229,Credit Card,Mall Store,28-01-2025
2242,Amit Yadav,Faridabad,Haryana,Clothing,2,1680,1331,349,0.208,UPI,Supermarket,09-02-2025
1901,Anita Iyer,Nagpur,Maharashtra,Grocery,3,197,165,32,0.163,Credit Card,Local Store,19-01-2025
2228,Swati Singh,Gurgaon,Haryana,Clothing,4,3420,2483,937,0.274,UPI,Local Store,22-01-2025
1532,Manoj Bansal,Mangalore,Karnataka,Grocery,6,210,174,36,0.17,Cash,Supermarket,27-01-2025
2463,Rekha Joshi,Panchkula,Haryana,Grocery,9,510,424,86,0.169,Credit Card,Mall Store,15-01-2025
2018,Kavita Mehta,Trivandrum,Kerala,Electronics,1,6310,5837,473,0.075,Cash,Mall Store,19-03-2025
1315,Rekha Pillai,Ludhiana,Punjab,Grocery,4,318,280,38,0.121,UPI,Local Store,11-03-2025
2371,Simran Bansal,Agra,Uttar Pradesh,Grocery,6,344,282,62,0.179,Credit Card,Local Store,12-01-2025
1497,Simran Kumar,Siliguri,West Bengal,Electronics,2,8740,8128,612,0.07,Cash,Local Store,14-03-2025
1052,Shalini Patel,Coimbatore,Tamil Nadu,Stationery,6,374,293,81,0.217,UPI,Local Store,29-01-2025
2326,Kavita Verma,Coimbatore,Tamil Nadu,Stationery,6,183,148,35,0.193,Credit Card,Mall Store,05-02-2025
2441,Divya Reddy,Udaipur,Rajasthan,Electronics,1,10320,9505,815,0.079,UPI,Supermarket,07-02-2025
1322,Meera Chopra,Nashik,Maharashtra,Electronics,1,10080,9233,847,0.084,Debit Card,Mall Store,05-02-2025
1109,Manish Verma,Hyderabad,Telangana,Grocery,7,447,367,80,0.18,UPI,Mall Store,12-01-2025
1402,Swati Verma,Solapur,Maharashtra,Stationery,8,464,362,102,0.219,Debit Card,Mall Store,07-01-2025
2251,Manish Kapoor,Faridabad,Haryana,Grocery,9,580,516,64,0.11,Cash,Supermarket,27-03-2025
1443,Naveen Saxena,Mumbai,Maharashtra,Stationery,5,143,115,28,0.198,Credit Card,Supermarket,04-03-2025
1465,Vivek Yadav,Siliguri,West Bengal,Electronics,2,15210,13552,1658,0.109,Cash,Mall Store,14-01-2025
1031,Simran Patel,Kota,Rajasthan,Clothing,6,4320,3119,1201,0.278,Cash,Supermarket,03-02-2025
1931,Manish Saxena,Rewa,Madhya Pradesh,Clothing,5,3670,2936,734,0.2,Debit Card,Mall Store,24-02-2025
1224,Rajesh Chopra,Kolkata,West Bengal,Electronics,1,2360,2159,201,0.085,Debit Card,Local Store,20-03-2025
1829,Rajesh Joshi,Noida,Uttar Pradesh,Grocery,8,430,381,49,0.115,Debit Card,Local Store,18-02-2025
2386,Gaurav Kumar,Chennai,Tamil Nadu,Clothing,2,1980,1491,489,0.247,UPI,Mall Store,13-03-2025
1401,Rekha Kapoor,Trivandrum,Kerala,Electronics,1,2420,2234,186,0.077,Cash,Mall Store,19-01-2025
2211,Pooja Pillai,Vadodara,Gujarat,Grocery,3,124,108,16,0.131,Credit Card,Local Store,31-03-2025
1827,Rohit Sharma,Solapur,Maharashtra,Grocery,7,590,516,74,0.125,UPI,Supermarket,11-01-2025
2222,Alok Singh,Kolkata,West Bengal,Electronics,1,9080,8127,953,0.105,Credit Card,Supermarket,31-01-2025
1447,Ajay Bansal,Kanpur,Uttar Pradesh,Grocery,10,650,568,82,0.126,UPI,Local Store,12-02-2025
1681,Kiran Mehta,Kolhapur,Maharashtra,Electronics,1,10530,9740,790,0.075,Debit Card,Mall Store,22-03-2025
2467,Rekha Sharma,Varanasi,Uttar Pradesh,Stationery,10,1030,824,206,0.2,Credit Card,Supermarket,23-01-2025
1178,Shalini Gupta,Bhopal,Madhya Pradesh,Grocery,10,820,692,128,0.156,Credit Card,Local Store,18-01-2025
2155,Ashok Reddy,Agra,Uttar Pradesh,Stationery,4,411,310,101,0.246,Credit Card,Mall Store,14-03-2025
2424,Alok Mehta,Nagpur,Maharashtra,Clothing,6,3890,2614,1276,0.328,UPI,Mall Store,01-02-2025
2083,Divya Gupta,Ludhiana,Punjab,Grocery,3,166,144,22,0.134,Debit Card,Supermarket,18-02-2025
1089,Karan Kapoor,Sangli,Maharashtra,Clothing,3,2220,1634,586,0.264,UPI,Supermarket,11-03-2025
1548,Rajesh Nair,Satara,Maharashtra,Grocery,7,399,340,59,0.148,Credit Card,Supermarket,20-02-2025
2482,Preeti Iyer,Ratlam,Madhya Pradesh,Grocery,7,381,335,46,0.12,Cash,Supermarket,03-01-2025
1936,Priya Kapoor,Guwahati,Assam,Clothing,4,3000,2022,978,0.326,UPI,Supermarket,01-02-2025
1907,Anita Pillai,Satara,Maharashtra,Grocery,4,158,140,18,0.115,Cash,Mall Store,21-03-2025
1387,Nisha Kumar,Lucknow,Uttar Pradesh,Grocery,6,391,321,70,0.178,Cash,Mall Store,22-02-2025
2468,Anita Singh,Hisar,Haryana,Grocery,5,330,292,38,0.115,UPI,Local Store,14-01-2025
2317,Gaurav Kapoor,Sangli,Maharashtra,Grocery,7,308,257,51,0.164,UPI,Supermarket,13-02-2025
1479,Vikram Yadav,Surat,Gujarat,Clothing,5,9120,6411,2709,0.297,UPI,Mall Store,10-01-2025
1695,Rahul Patel,Delhi,Delhi,Electronics,1,10080,9062,1018,0.101,UPI,Supermarket,14-02-2025
1900,Anjali Saxena,Kota,Rajasthan,Grocery,8,382,326,56,0.146,UPI,Mall Store,06-01-2025
1488,Suman Agarwal,Satara,Maharashtra,Electronics,2,8430,7587,843,0.1,Cash,Supermarket,02-02-2025
1650,Anita Nair,Rajkot,Gujarat,Grocery,9,630,563,67,0.107,Cash,Mall Store,31-01-2025
2488,Priya Malhotra,Panchkula,Haryana,Grocery,9,302,271,31,0.102,UPI,Supermarket,29-01-2025
1453,Vivek Pillai,Gwalior,Madhya Pradesh,Electronics,1,4550,4263,287,0.063,Cash,Mall Store,22-01-2025
2404,Kavita Pillai,Vadodara,Gujarat,Electronics,2,21030,19558,1472,0.07,Cash,Mall Store,13-01-2025
1300,Payal Kapoor,Gurgaon,Haryana,Electronics,2,20410,18614,1796,0.088,Credit Card,Mall Store,28-03-2025
1159,Rajesh Nair,Kolkata,West Bengal,Electronics,2,7660,6994,666,0.087,Credit Card,Local Store,08-02-2025
1425,Pooja Gupta,Hyderabad,Telangana,Electronics,2,20520,18796,1724,0.084,UPI,Mall Store,03-03-2025
1988,Rohit Nair,Sangli,Maharashtra,Clothing,5,5820,4254,1566,0.269,UPI,Mall Store,11-01-2025
1491,Rajesh Chopra,Kanpur,Uttar Pradesh,Grocery,6,359,300,59,0.163,Cash,Mall Store,24-03-2025
2008,Deepika Reddy,Ludhiana,Punjab,Grocery,10,700,612,88,0.125,UPI,Supermarket,26-01-2025
2303,Pooja Mehta,Hyderabad,Telangana,Electronics,1,7390,6754,636,0.086,UPI,Local Store,03-02-2025
2148,Manoj Pillai,Noida,Uttar Pradesh,Clothing,2,940,718,222,0.236,Credit Card,Local Store,11-01-2025
2164,Shalini Patel,Varanasi,Uttar Pradesh,Grocery,10,353,312,41,0.117,Credit Card,Supermarket,02-03-2025
1780,Manish Sharma,Bengaluru,Karnataka,Grocery,6,416,344,72,0.174,Credit Card,Mall Store,02-03-2025
2465,Rekha Kumar,Ratlam,Madhya Pradesh,Electronics,2,11940,10543,1397,0.117,Credit Card,Supermarket,08-02-2025
1095,Arjun Nair,Kota,Rajasthan,Clothing,4,3130,2194,936,0.299,Credit Card,Local Store,21-02-2025
